FeedbackID,CategoryID,WebAppID,Datetime,ContactName,Subject,Rating,OverallScore,MainText,Status,SpamStatus,Remarks,ContactEmail,MainTextCleaned,SubjectCleaned
4,4,2,2019-11-26 23:42:40,,wgw,3,6,wehwhwrh,0,0,dummy data,,wehwhwrh,wgw
5,2,3,2019-11-26 23:43:44,2,2,2,8,wrrgw,0,0,dummy data,,wrrgw,2
6,3,3,2019-11-26 23:57:07,rhethjs,dog,2,8,hseteth,0,0,dummy data,,hseteth,dog
7,1,1,2019-11-27 01:43:17,erw,whwh,5,30,wwh,0,0,dummy data,,wwh,whwh
22,2,1,2019-11-27 01:40:10,eth,eheh,1,4,wgwh,0,0,dummy data,,wgwh,eheh
24,1,2,2019-12-02 08:06:27,cotnact,rg,3,18,wgwg,0,0,dummy data,,wgwg,rg
53,1,3,2019-11-26 23:44:27,eg,erg,5,30,1 42ggg,0,0,dummy data,,1 42ggg,erg
222,2,1,2019-11-27 01:50:47,wg4g,wgwg,5,20,wgwg,0,0,dummy data,,wgwg,wgwg
314,4,2,2019-11-26 23:46:18,eg,erggre,3,6,wgwg,0,0,dummy data,,wgwg,erggre
315,2,1,2019-11-27 01:54:12,wgwghweg,wehwehh,5,20,ehrewh,0,0,dummy data,,ehrewh,wehwehh
320,3,2,2019-12-02 08:03:56,,sub,5,20,wgwg,0,0,dummy data,,wgwg,sub
321,3,3,2019-12-02 08:38:56,12,wf,3,12,wgwggw,0,0,dummy data,,wgwggw,wf
4877,1,1,2019-12-05 10:17:12,,1,1,6,1,0,0,1,,1,1
8887,2,2,2019-12-06 09:03:48,,new,5,20,great!,0,0,,,great ,new
8888,1,1,2019-12-06 09:00:12,,legit,3,18,legit bro,0,0,,,legit bro,legit
103303,5,99,2019-12-06 09:10:44,,feature request,3,3,Make it like better with a giant pig bigger than king pig.,0,0,P_39,,Make it like better with a giant pig bigger than king pig ,feature request
103304,4,99,2019-12-06 09:10:44,,information giving,3,6,"These screens are small enough without crowding in more stuff""  Tuck it in with the rest of the add ons I never use and please get it out of my face!""",0,0,P_42,,These screens are small enough without crowding in more stuff Tuck it in with the rest of the add ons I never use and please get it out of my face ,information giving
103305,4,99,2019-12-06 09:10:44,,information giving,3,6,"Dear Rovio; If you absolutely must continue trying to squeeze dollars from your customers this way, at least have the decency to include an opt out for those like myself who are absolutely NOT going to spend an amount equal to what I paid for the app in the first place just to have some gimmicky and expendable in game item.",0,0,P_49,,Dear Rovio If you absolutely must continue trying to squeeze dollars from your customers this way at least have the decency to include an opt out for those like myself who are absolutely NOT going to spend an amount equal to what I paid for the app in the first place just to have some gimmicky and expendable in game item ,information giving
103306,2,99,2019-12-06 09:10:44,,problem discovery,3,12,App crashes when new power up notice pops up.,0,0,P_56,,App crashes when new power up notice pops up ,problem discovery
103307,4,99,2019-12-06 09:10:44,,information giving,3,6,It would be nice to have an update that didn  t crash the app.,0,0,P_62,,It would be nice to have an update that didn t crash the app ,information giving
103308,2,99,2019-12-06 09:10:44,,problem discovery,3,12,App crashes with new release.,0,0,P_63,,App crashes with new release ,problem discovery
103309,4,99,2019-12-06 09:10:44,,information giving,3,6,I have had no problems with any of the versions so far.,0,0,P_67,,I have had no problems with any of the versions so far ,information giving
103310,5,99,2019-12-06 09:10:44,,feature request,3,3,Please bring back the trajectory line or at least make it to where you can turn it on or off.,0,0,P_68,,Please bring back the trajectory line or at least make it to where you can turn it on or off ,feature request
103311,2,99,2019-12-06 09:10:44,,problem discovery,3,12,This is not worth buying it will crash right from the beginning.,0,0,P_69,,This is not worth buying it will crash right from the beginning ,problem discovery
103312,5,99,2019-12-06 09:10:44,,feature request,3,3,I will say you should make shock so close to the other buttons because I like to use the birds you provide.,0,0,P_70,,I will say you should make shock so close to the other buttons because I like to use the birds you provide ,feature request
103313,4,99,2019-12-06 09:10:44,,information giving,3,6,That needs to change.,0,0,P_70,,That needs to change ,information giving
103314,4,99,2019-12-06 09:10:44,,information giving,3,6,"Similarly every single app that gets updated to a beautiful"" ios7 look is one I will not update.""",0,0,P_1588,,Similarly every single app that gets updated to a beautiful ios7 look is one I will not update ,information giving
103315,2,99,2019-12-06 09:10:44,,problem discovery,3,12,This should Really be fixed!,0,0,P_1591,,This should Really be fixed ,problem discovery
103316,2,99,2019-12-06 09:10:44,,problem discovery,3,12,And you still can  t upload videos!!,0,0,P_1591,,And you still can t upload videos ,problem discovery
103317,2,99,2019-12-06 09:10:44,,problem discovery,3,12,"Is it just me, or is anyone else having the problem where the app won  t even open at all?",0,0,P_1594,,Is it just me or is anyone else having the problem where the app won t even open at all ,problem discovery
103318,5,99,2019-12-06 09:10:44,,feature request,3,3,I need to save my photos.,0,0,P_1594,,I need to save my photos ,feature request
